t	Theta Euler	Energy
137.34	0.137496	0.0179106
137.55	0.164833	0.0181464
137.76	0.184958	0.0186917
137.97	0.196969	0.019463
138.18	0.200319	0.0203369
138.39	0.194842	0.0211697
138.6	0.180761	0.0218214
138.81	0.158678	0.0221814
139.02	0.129552	0.0221904
139.23	0.0946511	0.0218523
139.44	0.055503	0.0212345
139.65	0.0138249	0.0204546
139.86	-0.0285504	0.0196577
140.07	-0.0697556	0.01899
140.28	-0.107971	0.0185732
140.49	-0.141505	0.018485
140.7	-0.16887	0.0187482
140.91	-0.188844	0.0193271
141.12	-0.200533	0.0201327
141.33	-0.203402	0.0210361
141.54	-0.197308	0.0218884
141.75	-0.182499	0.0225462
141.96	-0.159611	0.0228978
142.17	-0.129637	0.0228854
142.38	-0.0938819	0.022517
142.59	-0.053912	0.0218659
142.8	-0.0114806	0.0210558
143.01	0.0315463	0.0202374
143.22	0.0732722	0.0195607
143.43	0.111855	0.0191489
143.64	0.145585	0.0190791
143.85	0.172966	0.0193711
144.06	0.192777	0.0199848
144.27	0.204128	0.0208257
144.48	0.206501	0.0217589
144.69	0.199772	0.0226307
144.9	0.184219	0.0232939
145.11	0.160509	0.023636
145.32	0.129671	0.0236008
145.53	0.0930496	0.0232009
145.74	0.052248	0.0225154
145.95	0.00905657	0.0216745
146.16	-0.0346249	0.0208346
146.37	-0.0768712	0.0201494
146.58	-0.115816	0.0197436
146.79	-0.149735	0.0196935
147	-0.177123	0.0200157
147.21	-0.196756	0.0206655
147.42	-0.207754	0.0215426
147.63	-0.209613	0.0225062
147.84	-0.202232	0.0233972
148.05	-0.185917	0.0240652
148.26	-0.161369	0.0243966
148.47	-0.129653	0.0243374
148.68	-0.0921524	0.0239045
148.89	-0.0505093	0.0231835
149.1	-0.00655137	0.0223113
149.31	0.0377878	0.0214499
149.52	0.0805537	0.0207568
149.73	0.119857	0.0203581
149.94	0.153957	0.020329
150.15	0.181339	0.0206829
150.36	0.200782	0.02137
150.57	0.211411	0.0222842
150.78	0.212739	0.0232786
150.99	0.204688	0.0241888
151.2	0.187594	0.0248608
151.41	0.16219	0.0251803
151.62	0.129581	0.0250955
151.83	0.0911887	0.0246283
152.04	0.0486944	0.0238708
152.25	0.0039634	0.0229667
152.46	-0.0410363	0.0220839
152.67	-0.0843208	0.0213836
152.88	-0.123978	0.0209931
153.09	-0.15825	0.0209863
153.3	-0.185616	0.0213733
153.51	-0.204854	0.0220991
153.72	-0.215098	0.0230514
153.93	-0.215877	0.024077
154.14	-0.207139	0.0250061
154.35	-0.189247	0.0256814
154.56	-0.162971	0.0259877
154.77	-0.129454	0.0258759
154.98	-0.0901567	0.025373
155.19	-0.0468014	0.0245778
155.4	-0.00129107	0.0236413
155.61	0.0443717	0.0227372
155.82	0.0881737	0.0220303
156.03	0.128179	0.0216492
156.24	0.162616	0.0216662
156.45	0.189954	0.0220878
156.66	0.208972	0.0228536
156.87	0.218814	0.023845
157.08	0.219028	0.0249023
157.29	0.209582	0.0258501
157.5	0.190875	0.0265277
157.71	0.16371	0.0268195
157.92	0.129269	0.0266791
158.13	0.0890547	0.026139
158.34	0.0448286	0.0253052
158.55	-0.00146722	0.0243357
158.76	-0.0477956	0.0234104
158.97	-0.0921135	0.0226977
159.18	-0.132462	0.0223272
159.39	-0.167054	0.0223695
159.6	-0.194352	0.0228273
159.81	-0.213135	0.0236344
160.02	-0.222559	0.0246659
160.23	-0.222188	0.0257552
160.44	-0.212018	0.0267214
160.65	-0.192476	0.0274004
160.86	-0.164405	0.0276764
161.07	-0.129025	0.0275057
161.28	-0.0878808	0.0269269
161.49	-0.0427744	0.0260534
161.7	0.00431308	0.0250506
161.91	0.0513093	0.0241042
162.12	0.0961414	0.0233866
162.33	0.136828	0.0230279
162.54	0.171566	0.0230971
162.75	0.19881	0.0235926
162.96	0.217345	0.0244425
163.17	0.226333	0.0255149
163.38	0.225359	0.0266367
163.59	0.214445	0.027621
163.8	0.19405	0.0283005
164.01	0.165055	0.0285591
164.22	0.128721	0.0283565
164.43	0.0866334	0.0277375
164.64	0.040637	0.0268231
164.85	-0.00724815	0.0257865
165.06	-0.0549142	0.0248194
165.27	-0.100259	0.0240976
165.48	-0.141277	0.0237521
165.69	-0.176151	0.0238498
165.9	-0.20333	0.0243846
166.11	-0.221599	0.0252787
166.32	-0.230134	0.0263931
166.53	-0.228538	0.0275476
166.74	-0.216861	0.0285496
166.95	-0.195595	0.0292285
167.16	-0.165658	0.0294682
167.37	-0.128354	0.0292321
167.58	-0.0853104	0.0285713
167.79	-0.0384145	0.027615
168	0.0102741	0.0265441
168.21	0.0586118	0.0255565
168.42	0.104466	0.0248315
168.63	0.14581	0.0245006
168.84	0.18081	0.0246284
169.05	0.20791	0.0252043
169.26	0.225899	0.026144
169.47	0.233962	0.0273013
169.68	0.231725	0.0284889
169.89	0.219265	0.0295082
170.1	0.197108	0.0301854
170.31	0.166213	0.0304046
170.52	0.127922	0.0301331
170.73	0.0839102	0.029429
170.94	0.0361052	0.0284297
171.15	-0.0133925	0.0273241
171.36	-0.0624035	0.0263164
171.57	-0.108765	0.0255892
171.78	-0.150428	0.0252744
171.99	-0.185544	0.025434
172.2	-0.212552	0.0260526
172.41	-0.230243	0.0270394
172.62	-0.237817	0.0282406
172.83	-0.234919	0.0294615
173.04	-0.221656	0.0304977
173.25	-0.198589	0.0311719
173.46	-0.166716	0.031369
173.67	-0.127424	0.0310604
173.88	-0.0824307	0.0303113
174.09	-0.0337072	0.0292679
174.3	0.0166051	0.0281273
174.51	0.0662908	0.0270998
174.72	0.113157	0.0263714
174.93	0.155132	0.0260742
175.14	0.190354	0.0262674
175.35	0.217255	0.0269305
175.56	0.234631	0.0279659
175.77	0.241697	0.0292119
175.98	0.238119	0.0304664
176.19	0.224032	0.0315189
176.4	0.200036	0.032189
176.61	0.167168	0.0323622
176.82	0.126858	0.0320145
177.03	0.08087	0.0312189
177.24	0.0312187	0.0301303
177.45	-0.0199136	0.0289543
177.66	-0.0702751	0.0279075
177.87	-0.117643	0.0271791
