t	Theta Euler	Energy
6	0.0521516	0.0015077
6.01	0.0523236	0.00150728
6.02	0.0524899	0.00150689
6.03	0.0526507	0.00150654
6.04	0.052806	0.00150623
6.05	0.0529556	0.00150595
6.06	0.0530997	0.0015057
6.07	0.0532382	0.00150548
6.08	0.0533711	0.00150529
6.09	0.0534984	0.00150513
6.1	0.0536202	0.001505
6.11	0.0537363	0.00150489
6.12	0.0538468	0.00150481
6.13	0.0539518	0.00150475
6.14	0.0540511	0.00150472
6.15	0.0541449	0.0015047
6.16	0.0542331	0.00150471
6.17	0.0543156	0.00150473
6.18	0.0543926	0.00150477
6.19	0.054464	0.00150483
6.2	0.0545298	0.0015049
6.21	0.0545901	0.00150498
6.22	0.0546448	0.00150508
6.23	0.0546939	0.00150519
6.24	0.0547374	0.0015053
6.25	0.0547754	0.00150543
6.26	0.0548078	0.00150556
6.27	0.0548347	0.0015057
6.28	0.054856	0.00150584
6.29	0.0548719	0.00150599
6.3	0.0548822	0.00150614
6.31	0.054887	0.00150629
6.32	0.0548863	0.00150644
6.33	0.0548801	0.00150659
6.34	0.0548684	0.00150674
6.35	0.0548513	0.00150688
6.36	0.0548287	0.00150702
6.37	0.0548007	0.00150715
6.38	0.0547673	0.00150728
6.39	0.0547284	0.00150739
6.4	0.0546842	0.0015075
6.41	0.0546345	0.0015076
6.42	0.0545795	0.00150768
6.43	0.0545191	0.00150775
6.44	0.0544534	0.00150781
6.45	0.0543824	0.00150785
6.46	0.0543061	0.00150788
6.47	0.0542245	0.00150789
6.48	0.0541376	0.00150788
6.49	0.0540455	0.00150785
6.5	0.0539481	0.0015078
6.51	0.0538456	0.00150773
6.52	0.0537378	0.00150764
6.53	0.0536249	0.00150752
6.54	0.0535068	0.00150738
6.55	0.0533836	0.00150721
6.56	0.0532553	0.00150702
6.57	0.0531219	0.0015068
6.58	0.0529835	0.00150656
6.59	0.05284	0.00150628
6.6	0.0526915	0.00150597
6.61	0.052538	0.00150564
6.62	0.0523796	0.00150527
6.63	0.0522162	0.00150487
6.64	0.0520479	0.00150444
6.65	0.0518748	0.00150397
6.66	0.0516967	0.00150347
6.67	0.0515139	0.00150293
6.68	0.0513262	0.00150236
6.69	0.0511338	0.00150175
6.7	0.0509366	0.0015011
6.71	0.0507347	0.00150042
6.72	0.0505281	0.00149969
6.73	0.0503168	0.00149893
6.74	0.0501009	0.00149813
6.75	0.0498804	0.00149728
6.76	0.0496554	0.0014964
6.77	0.0494258	0.00149547
6.78	0.0491917	0.0014945
6.79	0.0489531	0.00149349
6.8	0.0487101	0.00149244
6.81	0.0484627	0.00149134
6.82	0.0482109	0.0014902
6.83	0.0479547	0.00148901
6.84	0.0476943	0.00148778
6.85	0.0474295	0.0014865
6.86	0.0471606	0.00148518
6.87	0.0468874	0.00148381
6.88	0.04661	0.0014824
6.89	0.0463286	0.00148094
6.9	0.046043	0.00147943
6.91	0.0457533	0.00147788
6.92	0.0454597	0.00147627
6.93	0.045162	0.00147462
6.94	0.0448604	0.00147293
6.95	0.0445549	0.00147118
6.96	0.0442455	0.00146939
6.97	0.0439323	0.00146755
6.98	0.0436153	0.00146566
6.99	0.0432945	0.00146372
7	0.04297	0.00146174
7.01	0.0426418	0.0014597
7.02	0.04231	0.00145762
7.03	0.0419745	0.00145549
7.04	0.0416356	0.00145331
7.05	0.041293	0.00145108
7.06	0.0409471	0.00144881
7.07	0.0405976	0.00144648
7.08	0.0402448	0.00144411
7.09	0.0398887	0.00144169
7.1	0.0395292	0.00143923
7.11	0.0391664	0.00143671
7.12	0.0388004	0.00143415
7.13	0.0384313	0.00143154
7.14	0.038059	0.00142889
7.15	0.0376836	0.00142619
