t	Theta RK	Energy 
162.4	0.0569252	0.00499597
162.6	0.0721154	0.00499528
162.8	0.0844307	0.00499428
163	0.0933801	0.00499323
163.2	0.0986069	0.00499245
163.4	0.0999025	0.00499224
163.6	0.0972155	0.00499266
163.8	0.0906529	0.00499357
164	0.0804764	0.00499463
164.2	0.0670916	0.00499553
164.4	0.0510322	0.00499608
164.6	0.0329384	0.00499631
164.8	0.0135314	0.00499636
165	-0.00641495	0.00499635
165.2	-0.0261056	0.00499633
165.4	-0.0447554	0.00499618
165.6	-0.0616211	0.00499574
165.8	-0.0760302	0.00499494
166	-0.0874082	0.0049939
166.2	-0.0953016	0.00499289
166.4	-0.0993958	0.00499226
166.6	-0.0995275	0.00499223
166.8	-0.0956914	0.00499282
167	-0.0880405	0.00499381
167.2	-0.0768798	0.00499485
167.4	-0.0626543	0.00499566
167.6	-0.045931	0.00499611
167.8	-0.0273766	0.00499627
168	-0.0077309	0.00499629
168.2	0.012223	0.00499628
168.4	0.0316896	0.00499624
168.6	0.0498929	0.00499602
168.8	0.0661071	0.00499547
169	0.0796859	0.00499458
169.2	0.090088	0.00499352
169.4	0.0968986	0.00499258
169.6	0.0998463	0.00499211
169.8	0.0988135	0.00499228
170	0.0938414	0.00499301
170.2	0.0851283	0.00499405
170.4	0.0730215	0.00499505
170.6	0.0580036	0.00499576
170.8	0.0406734	0.00499611
171	0.0217217	0.00499621
171.2	0.00190414	0.00499622
171.4	-0.0179894	0.00499621
171.6	-0.0371657	0.00499613
171.8	-0.0548603	0.00499583
172	-0.070368	0.00499518
172.2	-0.0830703	0.00499421
172.4	-0.0924609	0.00499315
172.6	-0.0981655	0.00499232
172.8	-0.0999567	0.00499202
173	-0.097763	0.00499237
173.2	-0.0916719	0.00499323
173.4	-0.0819262	0.00499429
173.6	-0.0689145	0.00499522
173.8	-0.0531555	0.00499583
174	-0.0352774	0.00499609
174.2	-0.015993	0.00499615
